x,y,z,mesh-z-velocity
-0.017471721,0.007775053,-0.074906394,0
-0.017179558,0.007401465,-0.074906394,0
-0.018347934,0.010330783,-0.074906394,0
-0.018277595,0.009432323,-0.074906394,0
-0.018271578,0.009888452,-0.074906394,0
-0.018585339,0.009910096,-0.074906394,0
-0.018216789,0.010757391,-0.074906394,0
-0.018467488,0.010366545,-0.074906394,0
-0.017751064,0.00866406,-0.074906394,0
-0.017619127,0.008260731,-0.074906394,0
-0.017983224,0.009010041,-0.074906394,0
-0.014829397,0.008387983,-0.074906394,0
-0.015658757,0.006810513,-0.074906394,0
-0.01501909,0.007905096,-0.074906394,0
-0.015119152,0.007381542,-0.074906394,0
-0.015205684,0.006829494,-0.074906401,0
-0.016660292,0.007165942,-0.074906394,0
-0.016124697,0.007080313,-0.074906401,0
-0.017338675,0.007933782,-0.074906394,0
-0.016982522,0.007551041,-0.074906394,0
-0.017840112,0.011016586,-0.074906394,0
-0.018201316,0.010279259,-0.074906394,0
-0.018049907,0.010675201,-0.074906394,0
-0.018081773,0.009935471,-0.074906394,0
-0.018081956,0.009466102,-0.074906401,0
-0.017606292,0.009118744,-0.074906401,0
-0.018568607,0.010397196,-0.074906394,0
-0.017954739,0.011120049,-0.074906394,0
-0.018328937,0.010812595,-0.074906394,0
-0.017323716,0.008495539,-0.074906401,0
-0.014640588,0.00885172,-0.074906394,0
-0.014930683,0.008410539,-0.074906394,0
-0.015509181,0.007271022,-0.074906401,0
-0.015146143,0.007913638,-0.074906394,0
-0.015235764,0.007340921,-0.074906394,0
-0.016448993,0.007682648,-0.074906401,0
-0.015838237,0.007640004,-0.074906394,0
-0.016905265,0.00801826,-0.074906401,0
-0.016714958,0.008560299,-0.074906401,0
-0.017465992,0.011218159,-0.074906401,0
-0.017642885,0.010768622,-0.074906401,0
-0.017846042,0.010312571,-0.074906401,0
-0.017678607,0.009766487,-0.074906401,0
-0.017136618,0.009605303,-0.074906401,0
-0.016973058,0.009046256,-0.074906401,0
-0.018423632,0.010860053,-0.074906394,0
-0.017114595,0.011478582,-0.074906394,0
-0.017592024,0.011393969,-0.074906394,0
-0.018056393,0.01119281,-0.074906394,0
-0.016414657,0.008225796,-0.074906394,0
-0.014371872,0.009278107,-0.074906394,0
-0.014737516,0.008888994,-0.074906394,0
-0.015054724,0.00843825,-0.074906394,0
-0.015372429,0.007860993,-0.074906401,0
-0.015842056,0.008206203,-0.074906401,0
-0.016142692,0.008642062,-0.074906401,0
-0.0164623,0.008985283,-0.074906394,0
-0.017044149,0.01128666,-0.074906394,0
-0.017163346,0.010867597,-0.074906401,0
-0.017279141,0.010262511,-0.074906401,0
-0.016750928,0.00998436,-0.074906394,0
-0.016493266,0.009494937,-0.074906401,0
-0.018141799,0.01125538,-0.074906394,0
-0.01668337,0.01152254,-0.074906401,0
-0.017172245,0.011584437,-0.074906394,0
-0.017681206,0.011480521,-0.074906394,0
-0.014044326,0.009662372,-0.074906394,0
-0.014463019,0.009328631,-0.074906394,0
-0.01485613,0.008934751,-0.074906394,0
-0.015292339,0.008473129,-0.074906394,0
-0.015979694,0.009156803,-0.074906401,0
-0.015568286,0.008803292,-0.074906401,0
-0.016672235,0.011069466,-0.074906401,0
-0.016690081,0.010514013,-0.074906401,0
-0.016187957,0.010107838,-0.074906401,0
-0.015920397,0.009620095,-0.074906394,0
-0.016334465,0.011312929,-0.074906394,0
-0.017755475,0.011554803,-0.074906394,0
-0.01620326,0.011630004,-0.074906394,0
-0.016724795,0.011713013,-0.074906394,0
-0.01724836,0.011681313,-0.074906394,0
-0.013672205,0.010004865,-0.074906394,0
-0.014128732,0.009724256,-0.074906394,0
-0.014574425,0.009390539,-0.074906394,0
-0.015075579,0.009019842,-0.074906394,0
-0.015357903,0.009404155,-0.074906401,0
-0.013266686,0.010308545,-0.074906394,0
-0.016149867,0.010790662,-0.074906401,0
