##ANSYS Fluent 24.1.0
##
##Generated on: 13:21:59, 23 Sep 2024
##
##Generated from case: FLTG.2-30.cas.h5
##

[Name]
bottom

[Data]
x,y,z,z-velocity
-0.013805613,0.0046155499,-0.074906394,-0.0096998559
-0.013324465,0.0044276132,-0.074906394,-0.0019198647
-0.013348118,0.0048014764,-0.074906394,-0.0019416533
-0.013943776,0.0056460872,-0.074906394,-0.0018326768
-0.013660491,0.0052237953,-0.074906394,-0.006267617
-0.015151975,0.0052879187,-0.074906394,-0.012620109
-0.015548345,0.0055888733,-0.074906394,-0.014192907
-0.014688436,0.0050782533,-0.074906394,-0.0075388262
-0.014212283,0.0048946417,-0.074906394,-0.0091202622
-0.013402465,0.0046293424,-0.074906394,-0.0033371551
-0.013769941,0.0047800243,-0.074906394,-0.0095632868
-0.014267355,0.0060341503,-0.074906394,-0.0025565897
-0.01375505,0.0051396759,-0.074906394,-0.0092979446
-0.014028646,0.0055856374,-0.074906394,-0.0038130993
-0.015088146,0.005370562,-0.074906394,-0.012301088
-0.015937921,0.0058982545,-0.074906394,-0.015527734
-0.015481851,0.0056693628,-0.074906394,-0.01406417
-0.014614683,0.0051794052,-0.074906394,-0.0069734501
-0.014129357,0.0050344411,-0.074906394,-0.010085871
-0.013903835,0.005064507,-0.074906394,-0.013085005
-0.014543164,0.0064586708,-0.074906394,-0.00031316769
-0.01435885,0.0059839776,-0.074906394,-0.0037580496
-0.014131953,0.005511946,-0.074906394,-0.0055758171
-0.015011772,0.0054696486,-0.074906394,-0.011547631
-0.016686715,0.0065521779,-0.074906394,-0.017700387
-0.016318552,0.0062183794,-0.074906394,-0.021640323
-0.018173702,0.0085083647,-0.074906394,-0.012380419
-0.017940613,0.0080756806,-0.074906394,-0.0087154228
-0.015868319,0.005976025,-0.074906394,-0.014525369
-0.01540241,0.0057658581,-0.074906394,-0.013023023
-0.014756916,0.006916895,-0.074906394,-0.00083401031
-0.014519605,0.0053557828,-0.074906394,-0.0069316551
-0.014249901,0.0053807427,-0.074906394,-0.0069642588
-0.0146405,0.0064207865,-0.074906394,-0.0010567134
-0.014470409,0.0059226779,-0.074906394,-0.0055293306
-0.0149112,0.0056392504,-0.074906394,-0.010900134
-0.017037999,0.006902704,-0.074906394,-0.015290875
-0.016609743,0.0066224104,-0.074906394,-0.018198494
-0.016245445,0.0062927655,-0.074906394,-0.021405136
-0.017670279,0.0076634856,-0.074906394,-0.011877457
-0.017367605,0.0072726165,-0.074906394,-0.014742156
-0.018365076,0.0089595607,-0.074906394,-0.015474629
-0.018073626,0.008538424,-0.074906394,-0.013995262
-0.017845055,0.0081170844,-0.074906394,-0.0094969422
-0.018261468,0.0089765014,-0.074906394,-0.018145325
-0.015785243,0.0060692155,-0.074906394,-0.012843292
-0.015321767,0.0058358004,-0.074906394,-0.011766871
-0.014888159,0.0074011525,-0.074906394,-0.00073941471
-0.01485855,0.0068929689,-0.074906394,-0.0012369269
-0.014652037,0.0057902969,-0.074906401,-0.0085611474
-0.014759379,0.0063743768,-0.074906394,-0.0020509125
-0.015141162,0.0059995763,-0.074906401,-0.0088426648
-0.016956788,0.0069678249,-0.074906394,-0.015639251
-0.016517896,0.0067063663,-0.074906394,-0.01864082
-0.016158195,0.0063818041,-0.074906394,-0.019279128
-0.017579608,0.0077144317,-0.074906394,-0.012865358
-0.017281789,0.0073313974,-0.074906394,-0.015028636
-0.01840226,0.0094297417,-0.074906394,-0.020747606
-0.01835705,0.0098800389,-0.074906394,-0.027641894
-0.018507607,0.0094275493,-0.074906394,-0.017130565
-0.018480733,0.009896256,-0.074906394,-0.022712473
-0.017954869,0.0085740313,-0.074906394,-0.014846698
-0.017731505,0.0081662489,-0.074906394,-0.010480221
-0.018138701,0.0089965072,-0.074906394,-0.021420253
-0.015630882,0.0061166352,-0.074906394,-0.010622969
-0.014915358,0.0078981277,-0.074906394,-0.00026731851
-0.014992015,0.0073923711,-0.074906394,-0.00094821828
-0.014982846,0.0068635787,-0.074906394,-0.0017869
-0.014947033,0.0063094273,-0.074906394,-0.0038536084
-0.015432508,0.006405083,-0.074906401,-0.0070081567
-0.016859947,0.007045567,-0.074906394,-0.015984697
-0.016385604,0.0067956988,-0.074906394,-0.01915963
-0.015984375,0.0065229521,-0.074906401,-0.014992858
-0.017471721,0.0077750534,-0.074906394,-0.01363846
-0.017179558,0.0074014645,-0.074906394,-0.015371819
-0.018347934,0.010330783,-0.074906394,-0.031221887
-0.018277595,0.0094323233,-0.074906394,-0.025037045
-0.018271578,0.0098884515,-0.074906394,-0.031271148
-0.018585339,0.0099100955,-0.074906394,-0.018495562
-0.018216789,0.010757391,-0.074906394,-0.040658299
-0.018467488,0.010366545,-0.074906394,-0.025237462
-0.017751064,0.0086640595,-0.074906394,-0.016416848
-0.017619127,0.0082607307,-0.074906394,-0.012307217
-0.017983224,0.0090100411,-0.074906394,-0.02297313
-0.014829397,0.0083879828,-0.074906394,-0.00047130929
-0.015658757,0.0068105133,-0.074906394,-0.0087943692
-0.01501909,0.0079050958,-0.074906394,-0.00032490757
-0.015119152,0.0073815421,-0.074906394,-0.0014410602
-0.015205684,0.0068294941,-0.074906401,-0.0036155921
-0.016660292,0.0071659423,-0.074906394,-0.016199082
-0.016124697,0.0070803128,-0.074906401,-0.015052195
-0.017338675,0.0079337815,-0.074906394,-0.012603874
